Name of School,School ID,Family Involvement Score,Teachers Score,Adequate Yearly Progress Made?,Parent Engagement Score,Average Student Attendance,Average Teacher Attendance,"Elementary, Middle, or High School"
Edward Beasley Elementary Magnet Academic Center,610246,,,Yes,42,95.0,94.7,ES
Mariano Azuela Elementary School,610544,96,84,No,47,95.5,0.0,ES
William Jones College Preparatory High School,609678,,,Yes,,93.8,95.3,HS
Robert H Lawrence Elementary School,610045,29,30,No,,90.7,95.3,ES
George Washington Carver Primary School,609845,,,No,52,90.9,94.7,ES
Enrico Fermi Elementary School,609916,42,47,No,,89.9,95.4,ES
Benjamin E Mays Elementary Academy,610290,23,37,No,,95.5,96.6,ES
Wendell E Green Elementary School,610032,,,No,53,93.9,95.7,ES
William P Nixon Elementary School,610097,,,No,46,95.6,95.8,ES
Carroll-Rosenwald Specialty Elementary School,609839,,,No,48,94.8,95.6,ES
John P Altgeld Elementary School,609775,37,35,No,46,91.9,95.5,ES
Al Raby High School,610334,,,No,,80.3,95.1,HS
John Hay Elementary Community Academy,609975,,,No,52,92.9,97.1,ES
Eugene Field Elementary School,609918,33,8,No,44,96.8,96.7,ES
Ole A Thorp Elementary Scholastic Academy,610201,61,57,No,50,96.4,95.8,ES
Crown Community Academy of Fine Arts Center Elementary School,609873,39,31,No,49,92.5,96.7,ES
LaSalle II Magnet Elementary School,610520,81,79,Yes,55,95.1,94.8,ES
Percy L Julian High School,609762,50,51,No,,74.6,94.2,HS
Jesse Sherwood Elementary School,610173,,,No,51,92.0,95.5,ES
Joseph Jungman Elementary School,610015,34,43,No,48,96.4,96.3,ES
Betsy Ross Elementary School,610150,,,No,37,88.9,93.9,ES
Charles Evans Hughes Elementary School,610005,,,No,,94.4,94.7,ES
George W Tilton Elementary School,610202,25,44,No,51,91.4,95.1,ES
Frederick Stock Elementary School,610163,99,81,,69,72.4,95.7,ES
Garrett A Morgan Elementary School,610072,38,36,No,47,92.0,94.8,ES
Lazaro Cardenas Elementary School,610024,58,58,No,52,96.3,98.5,ES
Portage Park Elementary School,610135,,,No,48,94.2,95.9,ES
Alfred Nobel Elementary School,610098,34,36,No,48,94.6,95.2,ES
Mary Mapes Dodge Elementary Renaissance Academy,609888,61,83,No,56,94.4,97.1,ES
Thomas A Hendricks Elementary Community Academy,609987,,,No,51,91.2,95.6,ES
Rodolfo Lozano Bilingual & International Center Elementary School,610029,,,No,45,94.8,96.2,ES
Edward Jenner Elementary Academy of the Arts,610012,34,26,No,49,88.9,94.8,ES
Logandale Middle School,610325,,,No,50,95.1,95.6,MS
Rueben Salazar Elementary Bilingual Center,610250,,,No,52,95.1,95.8,ES
Mark Sheridan Elementary Math & Science Academy,610081,59,63,Yes,55,96.8,97.0,ES
William H King Elementary School,610023,,,No,,92.4,95.1,ES
Arna Wendell Bontemps Elementary School,610161,,,No,53,94.2,95.8,ES
Lionel Hampton Fine & Performing Arts Elementary School,609807,,,No,46,95.0,96.6,ES
Federico Garcia Lorca Elementary School,610541,58,82,No,51,96.8,0.0,ES
Alexander Graham Elementary School,609947,30,41,No,48,92.5,95.0,ES
Charles N Holden Elementary School,609996,44,51,No,54,94.9,96.0,ES
Frederick A Douglass Academy High School,610245,,,No,50,79.2,94.7,HS
Moses Montefiore Special Elementary School,610075,,,,46,80.4,93.5,ES
Joseph Warren Elementary School,610218,55,,No,46,95.0,95.3,ES
Ray Graham Training Center High School,609769,82,52,,53,86.3,94.3,HS
Emiliano Zapata Elementary Academy,609973,52,79,No,46,96.6,96.8,ES
Telpochcalli Elementary School,609921,48,69,No,55,95.4,94.7,ES
Avalon Park Elementary School,609786,24,16,No,46,92.1,96.4,ES
James Otis Elementary School,610107,92,94,No,54,95.5,96.5,ES
Ronald Brown Elementary Community Academy,610091,26,45,No,52,93.8,96.3,ES
Ignance Paderewski Elementary Learning Academy,610273,,,No,46,92.1,95.2,ES
Richard J Oglesby Elementary School,610102,40,32,No,46,94.4,96.9,ES
Daniel Hale Williams Prep School of Medicine,610380,,,No,,91.3,96.7,HS
Martha Ruggles Elementary School,610152,,,No,48,93.9,96.7,ES
William P Gray Elementary School,609949,,,No,47,95.6,95.9,ES
William E B Dubois Elementary School,610364,,,No,50,93.3,94.4,ES
Christian Fenger Academy High School,609705,28,42,No,,74.4,95.4,HS
Songhai Elementary Learning Institute,610160,,,No,46,89.5,95.4,ES
Greater Lawndale High School For Social Justice,610383,72,65,No,53,87.5,95.1,HS
Wells Community Academy High School,609740,49,49,No,,74.1,96.2,HS
Tarkington School of Excellence Elementary School,610396,,,No,49,95.9,96.6,ES
Henry D Lloyd Elementary School,610040,,,No,48,96.2,97.2,ES
David G Farragut Career Academy High School,609704,,,No,,86.1,95.2,HS
Mary Gage Peterson Elementary School,610127,,,No,51,95.5,96.7,ES
Walter L Newberry Math & Science Academy Elementary School,610095,74,44,Yes,54,95.1,96.3,ES
Julia Ward Howe Elementary School of Excellence,610000,46,67,No,57,96.0,97.1,ES
Austin Business and Entrepreneurship Academy High School,400018,,,No,,76.0,0.0,HS
Jordan Elementary Community School,609865,31,15,No,52,95.6,95.1,ES
Anna R. Langford Community Academy,609869,31,50,No,53,91.8,95.4,ES
Jane A Neil Elementary School,610093,41,36,No,52,88.9,94.6,ES
Florence B Price Elementary School,610258,,,No,46,90.0,95.2,ES
Mancel Talcott Elementary School,610197,58,55,No,51,95.8,96.9,ES
Myra Bradwell Communications Arts & Sciences Elementary School,609806,35,54,No,49,92.1,96.4,ES
George B Swift Elementary Specialty School,610196,53,59,No,49,96.3,95.8,ES
Brighton Park Elementary School,610317,,,No,,96.3,95.9,ES
Dunne Technology Academy,610188,53,59,No,49,94.6,96.4,ES
Newton Bateman Elementary School,609792,36,34,No,52,96.2,96.7,ES
Frank W Reilly Elementary School,610144,,,No,48,97.0,96.7,ES
Ella Flagg Young Elementary School,610235,,,No,44,94.3,95.4,ES
Orozco Fine Arts & Sciences Elementary School,610329,,,No,50,97.6,96.4,ES
Ana Roque de Duprey Elementary School,610320,,,No,53,95.4,95.6,ES
Alcott High School for the Humanities,610524,,,,57,92.7,96.9,HS
Charles R Darwin Elementary School,609875,40,46,No,49,95.6,96.2,ES
John M Harlan Community Academy High School,609710,,,No,,81.2,94.4,HS
Edgebrook Elementary School,609901,99,70,Yes,56,96.9,96.6,ES
Burnside Elementary Scholastic Academy,609827,,,No,48,94.9,94.9,ES
Michael M Byrne Elementary School,609832,61,57,Yes,49,94.6,95.8,ES
Irene C. Hernandez Middle School for the Advancement of Science,610532,34,27,No,,95.5,96.2,MS
James Hedges Elementary School,609983,,,No,41,95.4,96.5,ES
Peter A Reinberg Elementary School,610145,51,54,No,47,95.8,95.7,ES
Turner-Drew Elementary Language Academy,609895,56,66,Yes,,95.8,95.2,ES
Gwendolyn Brooks College Preparatory Academy High School,609726,,,No,47,87.1,95.2,HS
Simon Guggenheim Elementary School,610283,,,No,48,90.9,93.1,ES
John C Dore Elementary School,609893,67,51,Yes,58,95.6,96.7,ES
Miriam G Canter Middle School,610018,55,62,No,,91.4,95.7,MS
Luke O'Toole Elementary School,610108,,,No,45,89.2,94.6,ES
William H Seward Communication Arts Academy Elementary School,610167,43,63,No,49,95.7,95.7,ES
William B Ogden Elementary School,610101,,,No,,95.1,97.0,ES
Chicago Academy High School,610340,35,57,No,,93.1,96.1,HS
Helen M Hefferan Elementary School,609985,39,52,No,51,93.8,95.9,ES
John J Pershing Elementary Humanities Magnet,610126,90,78,Yes,,95.5,96.7,ES
Everett McKinley Dirksen Elementary School,609874,,,No,,95.9,96.2,ES
John W Garvy Elementary School,609937,70,55,No,56,95.3,96.5,ES
Richard Edwards Elementary School,609903,48,49,No,49,95.3,96.8,ES
Joshua D Kershaw Elementary School,610019,63,59,No,58,94.8,96.0,ES
Pershing West Middle School,610395,53,58,No,,96.2,97.6,MS
Northside Learning Center High School,609744,99,84,,62,89.8,95.6,HS
Arthur R Ashe Elementary School,610268,,,No,39,87.9,93.4,ES
Frank L Gillespie Elementary School,609939,,,No,,91.9,96.3,ES
Jesse Owens Elementary Community Academy,609932,,,No,51,91.3,93.5,ES
Enrico Tonti Elementary School,610203,44,54,No,49,95.8,97.2,ES
Ariel Elementary Community Academy,609951,,,No,51,95.5,96.0,ES
Beulah Shoesmith Elementary School,610175,54,41,No,49,94.7,94.8,ES
Norman A Bridge Elementary School,609810,,,No,51,95.6,96.6,ES
George Manierre Elementary School,610048,,,No,42,91.0,94.8,ES
Genevieve Melody Elementary School,610293,,,No,,92.1,96.0,ES
Ambrose Plamondon Elementary School,610131,,,No,45,96.9,96.6,ES
Oscar F Mayer Elementary School,610059,,,No,,95.0,95.2,ES
John Charles Haines Elementary School,609959,47,48,No,43,98.4,96.2,ES
Matthew A Henson Elementary School,610240,,,No,55,90.9,95.7,ES
Woodlawn Community Elementary School,609977,,,No,59,93.9,94.3,ES
Jose De Diego Elementary Community Academy,610313,53,64,No,53,95.0,96.8,ES
Harold Washington Elementary School,610124,,,No,47,96.1,96.2,ES
LaSalle Elementary Language Academy,610033,79,43,Yes,53,96.8,97.6,ES
DeWitt Clinton Elementary School,609859,41,36,No,,95.3,95.4,ES
Jackie Robinson Elementary School,610256,,,No,45,90.5,93.8,ES
James B Farnsworth Elementary School,609912,62,59,No,55,94.2,95.6,ES
Air Force Academy High School,610513,60,54,,53,93.3,96.9,HS
John Palmer Elementary School,610111,,,No,65,96.3,94.8,ES
Edward Everett Elementary School,609909,66,45,No,,95.3,97.7,ES
Elizabeth H Sutherland Elementary School,610195,,,No,50,95.6,96.2,ES
Louisa May Alcott Elementary School,609774,66,57,Yes,60,96.6,97.1,ES
Thomas J Higgins Elementary Community Academy,610295,,,No,49,95.2,95.2,ES
John B Murphy Elementary School,610089,,,No,58,95.6,96.3,ES
Marine Military Math and Science Academy ,610502,49,35,No,54,91.3,95.3,HS
Charles Sumner  Math & Science Community Acad Elementary School,610194,27,34,No,48,93.9,96.9,ES
George Washington Elementary School,610219,61,76,Yes,52,95.5,95.9,ES
Phillip Murray Elementary Language Academy,610090,,,Yes,56,95.6,95.9,ES
Sauganash Elementary School,610155,,,Yes,,96.3,95.4,ES
New Millennium High School of Health at Bowen,610323,23,6,No,,75.6,94.7,HS
Wildwood Elementary School,610230,90,45,Yes,55,96.2,95.7,ES
Crispus Attucks Elementary School,609781,76,85,No,,95.2,93.5,ES
John H Hamline Elementary School,609964,24,33,No,44,94.4,95.7,ES
Oliver S Westcott Elementary School,610300,41,47,No,46,92.6,94.8,ES
Nathan S Davis Elementary School,609876,,,No,48,95.1,95.9,ES
Roger C Sullivan High School,609733,44,33,No,44,81.6,95.8,HS
Leif Ericson Elementary Scholastic Academy,609907,,,No,45,94.7,95.1,ES
Paul Cuffe Math-Science Technology Academy Elementary School,610003,60,83,No,48,93.6,95.4,ES
West Park Elementary Academy,610100,,,No,46,93.7,96.7,ES
Robert L Grimes Elementary School,609956,64,71,No,53,95.2,95.6,ES
Edward White Elementary Career Academy,610315,,,No,51,93.8,96.7,ES
Benjamin Banneker Elementary School,610265,,,No,,91.3,93.9,ES
Alfred David Kohn Elementary School,610028,26,19,No,47,90.1,94.2,ES
Francis M McKay Elementary School,610067,48,61,No,48,93.5,95.1,ES
Gerald Delgado Kanoon Elementary Magnet School,609920,37,43,No,47,95.9,95.6,ES
Charles Gates Dawes Elementary School,609879,38,54,No,50,95.7,95.6,ES
Carrie Jacobs Bond Elementary School,610238,49,32,No,53,91.7,94.3,ES
Friedrich Ludwig Jahn Elementary School,610010,,,No,50,94.7,94.7,ES
John F Kennedy High School,609718,30,24,No,,83.0,94.7,HS
Pulaski International Academy Elmentary School,610138,45,23,No,47,96.1,96.2,ES
Thomas A Edison Regional Gifted Center Elementary School,609794,,,Yes,55,96.6,96.3,ES
Mary Lyon Elementary School,610046,,,No,45,95.9,97.0,ES
Claremont Academy Elementary School,610347,33,59,No,46,92.5,96.2,ES
Dr Jorge Prieto Math and Science,610533,,,No,52,94.7,96.9,ES
James Wadsworth Elementary School,610213,,,No,47,92.2,95.5,ES
Horatio May Elementary Community Academy,610058,,,No,,91.9,96.4,ES
Kelvyn Park High School,609716,28,43,No,,74.4,94.5,HS
Spencer Technology Academy,610183,50,56,No,50,92.5,96.0,ES
Little Village Elementary School,609834,43,43,No,47,96.7,96.7,ES
Edward A Bouchet Math & Science Academy Elementary School,609815,57,58,No,50,92.9,95.9,ES
Rudyard Kipling Elementary School,610027,,,No,53,94.7,96.0,ES
Marcus Moziah Garvey Elementary School,610128,,,No,49,94.0,96.0,ES
Chicago High School for Agricultural Sciences,609753,77,40,No,52,92.8,95.2,HS
Josephine C Locke Elementary School,610041,47,45,No,47,95.5,95.1,ES
William H Brown Elementary School,609812,73,73,No,46,92.8,94.7,ES
Helen Peirce International Studies Elementary School,610122,,,No,47,96.7,95.8,ES
Williams Preparatory Academy Middle School,610336,,,No,53,93.3,92.4,MS
Stephen T Mather High School,609724,44,56,No,,87.6,96.5,HS
High School of Leadership at South Shore,610297,30,28,No,42,72.0,95.2,HS
TEAM Englewood Community Academy High School,610506,48,68,No,58,87.3,96.5,HS
Robert A Black Magnet Elementary School,610350,,,Yes,55,96.0,93.7,ES
Martin A Ryerson Elementary School,610154,32,37,No,45,95.5,96.8,ES
Infinity Math Science and Technology High School,610384,,,No,51,92.2,96.0,HS
Daniel J Corkery Elementary School,609870,,,No,,94.7,97.2,ES
